N,p,n,k,lam,alpha_attr,alpha_rob,alpha_match,scc_outcome,robustness_outcome,match_outcome
11,0.023618725935268786,2,1,2,0.6809,0.1697,0.14940000000000012,8.5,0.840056818181818,0.6094460227272729
12,0.01210517669579596,4,1,8,0.8844,0.0524,0.0632,1.025,0.6767852783203124,0.6624108208550347
10,0.028834991435657265,4,2,4,0.0766,0.6144,0.309,1.0,0.619140625,0.5946649169921876
11,0.010598886167720138,3,2,1,0.1869,0.3929,0.4202,1.05,0.9768022017045453,0.5386363636363637
11,0.02622672933595483,2,2,9,0.6968,0.2923,0.0109,1.525,1.0,0.5386363636363637
11,0.04083494017977731,3,1,6,0.2059,0.25,0.5441,1.1,0.862890625,0.4611772017045455
12,0.0210931219648103,1,0,2,0.686,0.3063,0.0077,3.625,0.67626953125,0.55712890625
12,0.0436856594687596,5,1,1,0.1075,0.038,0.8545,1.0,0.8918802897135418,0.4841077677408855
11,0.046784994248951293,1,1,2,0.6237,0.1184,0.2579,7.325,0.740909090909091,0.45
11,0.029664262185512727,5,1,10,0.2226,0.467,0.3104,1.0,0.6192271839488634,0.4869845303622159
11,0.017019345600812308,4,0,8,0.5397,0.0058,0.4545,1.0,0.6881591796875,0.5444364513050426
10,0.0481400583697007,2,1,4,0.3761,0.5606,0.0633,2.3,0.7387304687500003,0.50806884765625
11,0.015319997466645235,5,1,5,0.2472,0.0928,0.66,1.0,0.7970814098011364,0.5890769264914772
11,0.03100670753572512,3,2,1,0.7418,0.0567,0.20149999999999998,1.375,0.9953657670454545,0.4576586174242424
10,0.0464426474218084,5,2,1,0.0787,0.3527,0.5686,1.0,1.0,0.875
11,0.04526807652206515,1,1,8,0.0044,0.0943,0.9013,7.15,0.7295454545454546,0.575284090909091
10,0.04922876767927546,2,1,6,0.5797,0.2696,0.1507,2.325,0.96267578125,0.49749999999999994
10,0.010486601472483224,2,1,1,0.1702,0.5735,0.25630000000000003,1.575,0.8032714843750002,0.5842616489955358
10,0.032220330338342776,1,2,2,0.8518,0.0319,0.1163,5.075,0.6572265625,0.49015625000000007
10,0.013016475736382432,4,0,5,0.6015,0.0854,0.3131,1.0,0.5203222656250001,0.5629682617187501
11,0.01655140503385366,4,1,7,0.5148,0.2805,0.20469999999999988,1.0,0.6765181107954545,0.43256983901515156
10,0.035485342572570654,2,2,10,0.2702,0.6706,0.05920000000000001,2.125,0.68388671875,0.38670605468749997
10,0.016970105407971402,2,1,10,0.1504,0.3517,0.4979,1.025,0.7236865234375001,0.41617065429687494
11,0.016006060578351237,2,2,1,0.0713,0.8017,0.127,7.45,0.9113636363636364,0.3917613636363636
12,0.02841725019582185,2,0,8,0.797,0.1591,0.0439,1.7,0.8321248372395835,0.48113897414434526
11,0.048219088382793554,5,0,6,0.5541,0.3081,0.1378,1.0,0.3801868785511363,0.5568083448533889
11,0.024487971438677987,3,0,1,0.8457,0.1016,0.05270000000000001,1.025,0.5129572088068182,0.566817959872159
11,0.03252343807145252,2,1,10,0.4413,0.258,0.3007,1.175,0.7068181818181818,0.5394176136363636
12,0.022629017944866443,4,2,10,0.7283,0.0503,0.2214,1.0,1.0,0.6661458333333332
11,0.03573717482269966,2,2,0,0.5664,0.0566,0.377,1.975,0.6480291193181819,0.484765625
10,0.012695631677430291,2,1,4,0.7037,0.2159,0.0804,1.075,0.9725781250000001,0.45712890625
11,0.0442842231198337,2,1,7,0.3251,0.1874,0.4875,2.075,0.6819069602272727,0.5063299005681817
12,0.042961909317670466,4,0,8,0.2709,0.3609,0.3682,1.0,0.3476236979166666,0.541665601911174
11,0.02740671675586212,4,2,3,0.5112,0.1562,0.3326,1.0,0.618896484375,0.698312655362216
12,0.02996978134541689,2,1,3,0.5216,0.3969,0.08150000000000011,4.1,0.7255767822265626,0.5819254557291667
12,0.03765135021476706,5,2,4,0.2261,0.0024,0.7715,1.0,0.92763671875,0.44936349051339286
10,0.048535441636794505,5,0,7,0.5313,0.3202,0.1485000000000001,1.0,0.7073974609375,0.4451148015802556
12,0.031673084192763386,1,2,6,0.7555,0.1123,0.1322000000000001,9.1,0.8375,0.50625
11,0.03265918923928855,1,2,2,0.6333,0.2738,0.0929,7.05,0.8209517045454546,0.452059659090909
11,0.044830874977892385,3,2,10,0.1746,0.4118,0.4136,2.475,0.7260564630681818,0.5530939275568182
11,0.03732670446713237,2,1,5,0.5267,0.0978,0.3755,2.1,1.0,0.45227272727272727
12,0.04039850856871465,3,1,5,0.808,0.1184,0.07359999999999987,1.05,0.8120096842447916,0.5930676269531251
12,0.0311342744399917,4,1,2,0.2445,0.4588,0.2967,1.15,0.678192138671875,0.44000100756448407
11,0.029989116710607708,1,1,1,0.9198,0.0544,0.0258,6.85,0.6559659090909092,0.5109848484848485
10,0.013628689162467898,4,1,0,0.145,0.4025,0.4525,1.0,0.45937011718749987,0.5618408203125
11,0.03832878728180155,2,2,5,0.9956,0.002,0.002400000000000011,2.95,0.7306818181818182,0.5144886363636363
10,0.02973642881597366,3,1,2,0.067,0.5973,0.3357,1.0,0.98951171875,0.3959765625
11,0.030291906073066074,3,2,7,0.9381,0.0199,0.04200000000000001,1.0,1.0,0.6672727272727272
10,0.015045309001596865,1,1,3,0.7942,0.0111,0.1947,2.975,0.7075,0.47417968750000006
11,0.03393065381293347,1,1,3,0.5435,0.2491,0.2074,2.725,0.8204545454545453,0.45681818181818185
10,0.01740593667066075,2,2,7,0.2474,0.7205,0.0321,1.975,0.7176953125,0.778199462890625
11,0.026038412188783472,3,2,3,0.9363,0.019,0.04469999999999999,1.0,0.7991832386363636,0.480859375
11,0.045519821934018205,5,0,1,0.9697,0.025,0.0053,1.0,0.44354580965909085,0.5097104097616791
