N,p,n,k,lam,ratio_rob,alpha_attr,alpha_rob,alpha_match,scc_outcome,robustness_outcome,match_outcome
10,0.032581738441690475,3,1,5,0.5806224325359991,0.0024,0.5792,0.4184,1.05,0.9629101562500001,0.402783203125
10,0.010144965923029638,3,2,7,0.2935497585873741,0.0027,0.2928,0.7045,1.975,1.0,0.3975
10,0.02282455285945046,3,1,8,0.7742344818452335,0.0023,0.7725,0.2252,1.925,1.0,0.6950000000000001
10,0.024243245917252992,3,0,2,0.1885910425960078,0.0018,0.1882,0.8099999999999999,3.875,0.8378710937499999,0.4734342447916665
10,0.04719622404384727,3,0,3,0.7279487162950624,0.0022,0.7263,0.2715,1.225,0.574189453125,0.5082025727771576
10,0.04248217632609842,3,2,3,0.08449846907910728,0.0008,0.0844,0.9148,1.0,0.9133056640625,0.59611083984375
10,0.029774873769257207,3,2,5,0.8449154855917476,0.0038,0.8417,0.1545,1.35,0.9996289062500001,0.4000732421875
10,0.03315863441659214,3,0,2,0.9054740160109699,0.0043,0.9016,0.09410000000000011,1.05,0.99072265625,0.56267041015625
10,0.0392571293559027,3,2,9,0.31202793666490614,0.0045,0.3106,0.6849,2.15,0.999951171875,0.5462548828125
10,0.026014630086399357,3,2,5,0.010557852841155341,0.0005,0.0106,0.9889,1.025,0.9937109375000001,0.597154052734375
10,0.015228386892334841,3,2,9,0.6988796097981811,0.001,0.6982,0.3008,1.325,0.8876611328124999,0.4887646484375
10,0.01611329607108069,3,1,8,0.573159928996452,0.004,0.5709,0.4251,1.175,0.9888134765625001,0.5023525390625
10,0.028612726421357135,3,1,0,0.09567101289060359,0.0022,0.0955,0.9023,1.025,1.0,0.503125
10,0.013110400682939153,3,1,8,0.9163150157347659,0.0021,0.9144,0.0835,1.0,0.8318310546875001,0.33071874999999995
10,0.01751611891312804,3,1,8,0.6450003472877078,0.0014,0.6441,0.3545,1.0,0.9938330078125001,0.6233392333984374
10,0.035809969516686795,3,1,10,0.44513318286896963,0.0028,0.4439,0.5533,1.025,0.95970703125,0.5944671630859375
10,0.022432302820625562,3,0,4,0.9652844805021478,0.0014,0.964,0.03460000000000001,1.75,0.8824804687500001,0.5603039202008927
10,0.043368735523761505,3,1,1,0.8342366162764123,0.0038,0.831,0.16519999999999999,1.0,0.92302734375,0.5176123046875
10,0.012543010142850058,3,1,10,0.6000626831997788,0.0011,0.5994,0.3995,1.025,0.9939843749999999,0.5566044599931319
10,0.026805705309385204,3,1,9,0.6072587539081898,0.0041,0.6048,0.3911,1.0,0.9962109375000001,0.41950000000000004
10,0.03020266827682562,3,2,1,0.4957795657590257,0.0003,0.4956,0.5041,1.0,0.9317187499999999,0.4874951171875
10,0.03632814207898371,3,2,5,0.007559979347811463,0.0048,0.0075,0.9877,1.0,1.0,0.54875
10,0.0116514169004068,3,1,9,0.8841401633254785,0.0039,0.8807,0.1154,1.0,0.99384765625,0.5003948974609375
10,0.03699829883689839,3,1,10,0.10311103330410966,0.004,0.1027,0.8933,1.625,1.0,0.5627777777777777
10,0.01888742533615945,3,1,3,0.0724704513560969,0.0001,0.0725,0.9274,1.35,0.8764843750000001,0.70484375
10,0.03090110990478742,3,2,7,0.6223722308099747,0.0023,0.621,0.37670000000000003,1.0,1.0,0.3975
10,0.03152185025802497,3,1,5,0.7623719292852292,0.0008,0.7618,0.2374,1.15,1.0,0.49857142857142855
10,0.04687828048764255,3,1,6,0.852101985296361,0.0025,0.8499,0.1476000000000001,1.0,0.9873388671875001,0.5132785470145089
10,0.0465929851319305,3,0,9,0.6119782988775063,0.0001,0.6119,0.388,1.0,0.952392578125,0.685001953125
10,0.04907867213844503,3,0,4,0.41390065338240634,0.0037,0.4124,0.5839,1.0,0.71546875,0.5265390437199519
