N,p,n,k,lam,ratio_rob,alpha_attr,alpha_rob,alpha_match,scc_outcome,robustness_outcome,match_outcome
10,0.028227173052113093,3,1,2.515983774601063,0.5806224325359991,0.0024,0.5792,0.4184,1.125,0.9108691406249999,0.4526331787109374
10,0.00018120740378704638,3,2,3.721175057316933,0.2935497585873741,0.0027,0.2928,0.7045,1.025,0.6554443359375,0.5210659179687501
10,0.01603069107431308,3,1,4.235709928723541,0.7742344818452335,0.0023,0.7725,0.2252,1.1,0.9763671875,0.4023331705729166
10,0.017804057396566243,3,0,1.0076423129958485,0.1885910425960078,0.0018,0.1882,0.8099999999999999,1.0,0.5660498046875,0.5638235520582932
10,0.04649528005480909,3,0,1.4721562597551061,0.7279487162950624,0.0022,0.7263,0.2715,1.05,0.5675341796875,0.57139404296875
10,0.04060272040762303,3,2,1.3669860776870628,0.08449846907910728,0.0008,0.0844,0.9148,1.0,0.6421826171874999,0.5520035807291667
10,0.024718592211571508,3,2,2.564415058249627,0.8449154855917476,0.0038,0.8417,0.1545,1.0,0.9939453125,0.59302978515625
10,0.028948293020740173,3,0,1.0685085360941833,0.9054740160109699,0.0043,0.9016,0.09410000000000011,1.225,0.9874560546875,0.47197021484374985
10,0.036571411694878375,3,2,4.406761666163338,0.31202793666490614,0.0045,0.3106,0.6849,4.575,0.805,0.64625
10,0.020018287607999202,3,2,2.289613547588566,0.010557852841155341,0.0005,0.0106,0.9889,1.0,1.0,0.595
10,0.006535483615418553,3,2,4.2853919294864875,0.6988796097981811,0.001,0.6982,0.3008,1.0,0.7449414062499999,0.638995361328125
10,0.007641620088850861,3,1,3.7867279288285447,0.573159928996452,0.004,0.5709,0.4251,1.0,0.9314160156250001,0.5603914116753472
10,0.023265908026696414,3,1,0.19848744923968129,0.09567101289060359,0.0022,0.0955,0.9023,1.025,0.9405859375000001,0.6293496093750001
10,0.0038880008536739405,3,1,3.934298114824891,0.9163150157347659,0.0021,0.9144,0.0835,2.9,0.8585156250000001,0.6014908854166667
10,0.009395148641410049,3,0,4.209327047421404,0.6450003472877078,0.0014,0.6441,0.3545,1.925,0.99068359375,0.4833945312500001
10,0.03226246189585849,3,1,4.983415058246078,0.44513318286896963,0.0028,0.4439,0.5533,3.725,0.6916503906250001,0.47333984375
10,0.015540378525781951,3,0,2.0745114639967204,0.9652844805021478,0.0014,0.964,0.03460000000000001,1.025,0.8577099609375001,0.4488733491443453
10,0.04171091940470188,3,1,0.6011323385564437,0.8342366162764123,0.0038,0.831,0.16519999999999999,1.175,0.99830078125,0.38843505859375
10,0.003178762678562574,3,1,4.81642156158391,0.6000626831997788,0.0011,0.5994,0.3995,1.025,0.994091796875,0.49434407552083337
10,0.021007131636731506,3,0,4.317122853102951,0.6072587539081898,0.0041,0.6048,0.3911,1.425,0.937919921875,0.565537109375
10,0.025253335346032024,3,2,0.25330199035469486,0.4957795657590257,0.0003,0.4956,0.5041,1.025,0.9841796875,0.5693945312499998
10,0.032910177598729634,3,2,2.2678163780669807,0.007559979347811463,0.0048,0.0075,0.9877,1.1,0.99853515625,0.6975000000000001
10,0.0020642711255085006,3,1,4.304679670452887,0.8841401633254785,0.0039,0.8807,0.1154,1.0,0.6843017578124999,0.49730468749999995
10,0.033747873546122985,3,0,4.848898625054599,0.10311103330410966,0.004,0.1027,0.8933,1.225,0.6349902343749999,0.4850345865885416
10,0.011109281670199313,3,0,1.500565631986932,0.0724704513560969,0.0001,0.0725,0.9274,1.0,0.7195898437499999,0.5591764322916667
10,0.026126387380984273,3,2,3.362902176193044,0.6223722308099747,0.0023,0.621,0.37670000000000003,1.0,1.0,0.6975
10,0.02690231282253121,3,2,2.7365048204014535,0.7623719292852292,0.0008,0.7618,0.2374,3.325,0.7462109375,0.55037841796875
10,0.04609785060955319,3,1,3.0395582256263376,0.852101985296361,0.0025,0.8499,0.1476000000000001,1.55,0.98216796875,0.409774169921875
10,0.045741231414913125,3,0,4.252528479862082,0.6119782988775063,0.0001,0.6119,0.388,1.45,0.9713476562500001,0.5287784830729166
10,0.04884834017305628,3,0,1.8862882286636415,0.41390065338240634,0.0037,0.4124,0.5839,1.0,0.9766210937500001,0.5071051897321428
10,0.007998340906532118,3,1,0.8320228327139061,0.23242050300466816,0.0038,0.2315,0.7647,1.0,1.0,0.49812499999999993
10,0.02354955798822337,3,0,3.547886381628979,0.3198017861613322,0.0001,0.3198,0.6801,1.0,0.8790917968749999,0.5516757812499999
10,0.01360320491528152,3,0,1.8585191742194422,0.28741436270632725,0.0049,0.286,0.7091,1.125,0.99703125,0.5246484375
10,0.04111519043954679,3,2,0.20228132993017803,0.7482976449815212,0.0038,0.7455,0.2506999999999998,1.05,0.6855566406249999,0.4009114583333333
10,0.025609284044839614,3,2,4.128067607577205,0.8870663395956532,0.0033,0.8841,0.1126,1.075,0.9945507812500001,0.306353759765625
10,0.010364610766981459,3,2,4.634026439470368,0.19083917165566083,0.0003,0.1908,0.8089,1.95,0.9680078125,0.5798763020833333
10,0.009523216431742053,3,1,0.7309792240516495,0.8909512715444841,0.0007,0.8903,0.109,1.0,1.0,0.41125
10,0.03163882451186962,3,0,2.151495737229732,0.20807221361691244,0.0016,0.2077,0.7907,1.425,0.7932421875,0.4370686848958334
10,0.016300978371184868,3,2,0.7746094212100846,0.7133935243562443,0.002,0.7119,0.28609999999999997,1.0,1.0,0.44875
10,0.021904767399924037,3,0,3.903789179979577,0.18470043323893015,0.0044,0.1839,0.8117,1.25,0.9777636718749999,0.5326708984375
10,0.016946719727286223,3,1,0.5387912227680522,0.7814077070249404,0.0045,0.7779,0.2176,1.475,0.990625,0.40181762695312495
10,0.03823296013727007,3,2,0.3487955789078354,0.15418634173572449,0.0035,0.1536,0.8429,1.25,0.6530078125000001,0.4899414062500001
10,0.017137128876587557,3,2,2.915618408359084,0.3830407737108017,0.004,0.3815,0.6145,2.025,0.9953515625,0.399658203125
10,0.014767484715273671,3,0,2.8587949943874995,0.8307802762742038,0.0049,0.8267,0.1684,1.0,0.5862158203124999,0.41297270275297626
10,0.04901411267331471,3,2,1.7154406182444895,0.9704371523521755,0.0037,0.9669,0.02940000000000001,1.1,1.0,0.594375
10,0.04456098833677543,3,2,4.430607609730059,0.7556066087071807,0.0016,0.7544,0.244,1.725,0.9530371093750001,0.495947265625
10,0.005048186689455676,3,2,3.874875502324258,0.4596908484149221,0.0001,0.4597,0.5402,1.025,0.9969042968749999,0.45986004717938317
10,0.005736873582779418,3,1,2.5698643874697735,0.3600376822221073,0.0028,0.359,0.6382,1.0,1.0,0.5367500000000001
10,0.0029695094458873804,3,2,2.8866513827231897,0.5972882197860678,0.0001,0.5973,0.4026,1.0,0.72447265625,0.614033203125
10,0.009899525182459814,3,0,3.6347718206215434,0.373883372653472,0.0043,0.3723,0.6234,1.0,0.550048828125,0.5444329833984376
10,0.035603030870005624,3,0,1.7334328871465001,0.7383815495374013,0.0004,0.7381,0.2615,1.3,0.6516503906250002,0.4805189732142857
10,0.04976289526726254,3,2,0.24855308546308508,0.11736948458764952,0.0014,0.1172,0.8814,1.025,1.0,0.6649999999999999
10,0.026200133936713985,3,0,3.1533893469542322,0.35212564016505143,0.0017,0.3515,0.6468,1.675,0.984716796875,0.59580810546875
10,0.012263758647965937,3,0,3.231456438907658,0.5199989976996436,0.0037,0.5181,0.4782,1.9,0.9205761718750001,0.45942871093749993
10,0.0027092698789421004,3,1,0.8643511386813301,0.0672629897053512,0.0,0.0673,0.9327,3.15,0.9647656250000001,0.8094433593750001
10,0.0025030286128547015,3,0,3.3095982252426,0.5500867186504922,0.0013,0.5494,0.4493,1.0,0.709189453125,0.5179606960130775
10,0.020249387170133238,3,0,4.384769372205447,0.23378737919634304,0.0016,0.2334,0.765,1.0,0.6695898437500001,0.5174566650390624
10,0.03638307190565636,3,2,1.220539128833609,0.32968718282188897,0.0043,0.3283,0.6674,1.0,0.95162109375,0.5275406901041667
10,0.03743476992894922,3,0,1.15873055061305,0.9219208751900986,0.0018,0.9203,0.0779,1.35,0.9982421875,0.6751318359375
10,0.042735616607734866,3,1,2.117770518167386,0.630587395472024,0.0042,0.6279,0.3679,1.0,0.8598437499999999,0.5838134765625
10,0.03968386646128938,3,1,0.38266302965159005,0.6881032471524555,0.0042,0.6852,0.3106,1.0,1.0,0.5299999999999999
10,0.0128623404629716,3,0,1.8697792650772636,0.14883148396210705,0.0021,0.1485,0.8494,1.0,0.503056640625,0.4980207963423295
10,0.021304829759996553,3,0,1.2041158335022388,0.17803873296856929,0.0029,0.1775,0.8196,1.0,0.70716796875,0.6447119140625
10,0.03247877358801306,3,0,2.5286652933022244,0.510456833338056,0.0046,0.5081,0.4873,1.0,0.9933203125000001,0.30505615234375005
10,0.006739264529813236,3,2,2.4183529372458583,0.027679485165530357,0.0039,0.0276,0.9685,1.0,0.9921533203124999,0.49921777343749996
10,0.043278669618372574,3,1,4.538753355833879,0.3055670138916869,0.0028,0.3047,0.6925,1.0,0.5377978515625,0.5073565673828124
10,0.010676053705795137,3,2,3.558130439036038,0.6427887730295435,0.0013,0.642,0.3567,1.025,1.0,0.49749999999999994
10,0.01018609687772774,3,2,4.340719408499101,0.24147417472459565,0.0048,0.2403,0.7549,1.0,0.98611328125,0.59928466796875
10,0.011997975578981065,3,1,3.438054155323938,0.7712955377190827,0.0019,0.7698,0.2283,1.0,0.9900439453125,0.60331787109375
10,0.04832104726122924,3,2,4.790427032531702,0.12002658923806185,0.0009,0.1199,0.8792,2.075,0.9953125,0.5980208333333333
10,0.02201270910710414,3,1,1.590167323455841,0.21287818861899704,0.0003,0.2128,0.7869,1.1,0.6723046875,0.5675439453125
10,0.005947900725483139,3,1,4.568314865109619,0.8058701876276957,0.0027,0.8037,0.1936,1.0,0.827353515625,0.502879638671875
10,0.04586303466621164,3,0,2.642056859638237,0.5330911388378389,0.0028,0.5316,0.4656,1.45,0.87431640625,0.6645422363281249
10,0.013830351429850505,3,1,2.813481495442332,0.7363084092387128,0.0007,0.7358,0.2635,2.0,0.801484375,0.4316445312499999
10,0.012091318535278818,3,1,2.4794614754119078,0.0045209841263989655,0.0004,0.0045,0.9951,1.975,0.9961523437500001,0.49216552734374996
10,0.027159897073021213,3,2,3.367582922528256,0.6604931588917908,0.005,0.6572,0.3378,1.0,1.0,0.595
10,0.044696310473489265,3,2,0.39222027466926224,0.0010643789147659585,0.0032,0.0011,0.9957,1.125,0.8503222656249999,0.63239501953125
10,0.027360509377261824,3,1,0.0551454753426566,0.663923976223018,0.0017,0.6628,0.3355,1.55,1.0,0.595
10,0.023803489552069505,3,1,1.1318886446147576,0.44201082704282196,0.0004,0.4418,0.5578,1.05,0.6056201171875001,0.51078369140625
10,0.005299638651004086,3,1,0.9150870553606473,0.12892359732112008,0.0027,0.1286,0.8687,2.975,0.9925390625,0.6488476562499998
10,0.029334875880293133,3,0,3.2361550955747043,0.854712072150672,0.0007,0.8541,0.1452,1.275,0.8078466796875,0.47800221761067707
10,0.024340265110803436,3,0,4.700324867080358,0.9233888843114886,0.0045,0.9192,0.0763,1.8,0.9879443359375,0.5004694521037582
10,0.031027158828046665,3,2,2.0018585018848083,0.4921454515120781,0.0012,0.4916,0.5072,1.0,0.9922656249999999,0.4014697265625
10,0.004745286259990501,3,2,1.5203742646019716,0.26807600683671134,0.0033,0.2672,0.7295,1.0,0.8160546875000001,0.5042578125
10,0.018744016845070148,3,1,4.753991890022246,0.9679168634611068,0.0022,0.9658,0.032,1.0,0.9922656249999999,0.49870117187499996
10,0.0277643406862558,3,0,2.105100257614225,0.38755704641047095,0.001,0.3872,0.6118,1.0,0.86396484375,0.4788650948660715
10,0.012579995790465892,3,2,2.361887185575858,0.9376823263130272,0.0047,0.9333,0.062,2.05,0.9880078125,0.7720703125
10,0.0388840481078646,3,1,3.1171360430564814,0.06489594625596724,0.0019,0.0648,0.9333,1.3,0.5775146484375,0.5957822672526042
10,0.01785980410807584,3,1,1.7920675854983281,0.3328128817286977,0.0047,0.3313,0.664,1.075,0.9980078124999998,0.39982421874999996
10,0.009714729903519848,3,1,1.6887033536984006,0.2614142596959365,0.0034,0.2605,0.7361,1.05,0.989736328125,0.5945174153645834
10,0.034906097921054334,3,1,2.6268720964674053,0.9837435570222366,0.004,0.9798,0.0162,1.025,0.9968359375,0.694876708984375
10,0.030184211917185524,3,2,0.4300295994860086,0.7073705161478838,0.0025,0.7056,0.2919,1.125,1.0,0.45125000000000004
10,0.020898884582209912,3,1,0.33137264041229675,0.6672816319778033,0.0016,0.6662,0.3322,1.3,0.9922070312500001,0.60018310546875
10,0.026463822136487975,3,1,4.1574825834034455,0.9497752542650524,0.0049,0.9451,0.05,1.8,0.981796875,0.4985807291666665
10,0.00803778923365979,3,1,2.8766944074816965,0.21574293036854347,0.0008,0.2156,0.7836,1.0,0.7188281250000002,0.57091064453125
10,0.03543983809569528,3,2,2.757869665364792,0.4678752634025394,0.0034,0.4663,0.5303,2.525,1.0,0.5974999999999999
10,0.005554038759675424,3,2,2.5935450847491355,0.5846936573892862,0.0034,0.5827,0.4139,1.075,1.0,0.49749999999999994
10,0.020443279357103224,3,2,1.2575708520163453,0.01796400520359397,0.0048,0.0179,0.9773,1.0,0.6955859375,0.6797900390624999
10,0.02060286033185036,3,0,4.766903839413393,0.8638566176180335,0.0031,0.8612,0.1357,1.0,0.6916650390625,0.4420285373263889
10,0.0008197793847821739,3,1,1.8009715640745019,0.9332929952810927,0.0038,0.9297,0.0665,1.0,1.0,0.796
10,0.019752831931094367,3,2,1.3838061457619122,0.8567977837135657,0.0022,0.8549,0.1429,1.975,0.6882128906250001,0.585406494140625
10,0.01939935505704321,3,0,3.8194547025103294,0.2025048077454425,0.0026,0.202,0.7954,1.925,0.61642578125,0.72891015625
10,0.0021776189936236895,3,2,0.8704407295281784,0.9960554791896495,0.0047,0.9913,0.003999999999999989,1.0,0.9968457031250001,0.585
10,0.030950678858831765,3,2,0.14761663192892865,0.045220362585500225,0.0005,0.0452,0.9543,1.05,0.686572265625,0.3603011067708334
10,0.034372967138023465,3,1,3.027930893736544,0.9883849512229671,0.0015,0.9869,0.0116,2.275,0.791044921875,0.4118310546875
10,0.025333416441290498,3,2,1.902822809312137,0.46282568345717057,0.0028,0.4615,0.5357,1.0,0.9948388671874999,0.10794270833333333
10,0.038633449348482174,3,1,0.04146418133965166,0.6040668507633714,0.0027,0.6024,0.3949,1.0,0.7504296875000002,0.6367228190104167
10,0.0173552614742638,3,0,2.9748655967207283,0.9075920727535629,0.0046,0.9034,0.092,1.025,0.7325390624999999,0.6247555881076389
10,0.0054754212575891074,3,2,3.70448823340236,0.6236668473552035,0.0049,0.6206,0.3745,1.5,1.0,0.4925
10,0.016425356939668543,3,1,1.9615582130411549,0.397830778884122,0.002,0.397,0.601,1.0,0.998486328125,0.4
10,0.015455885666362884,3,2,3.4954891934057986,0.5214393861936609,0.0028,0.52,0.4772,1.0,0.991552734375,0.5
10,0.043728590200353516,3,1,4.030500192475509,0.952926992595549,0.0024,0.9507,0.04690000000000001,3.45,0.9105664062500001,0.6028784179687499
10,0.006987260163180298,3,1,1.1472378141341288,0.023257964898177066,0.0021,0.0232,0.9747,1.975,0.9926171874999999,0.78923583984375
10,0.046270898838044194,3,1,4.69639119498872,0.17259069521490517,0.0033,0.172,0.8247,1.025,0.6894091796875,0.45757324218749995
10,0.01011969531561088,3,1,4.043047077228169,0.27796275182521946,0.0009,0.2777,0.7214,1.0,0.6233251953125001,0.5530065917968751
10,0.04388930969054192,3,1,1.5819206838795996,0.97421358800034,0.0031,0.9712,0.0257,1.45,0.991279296875,0.5067537434895832
10,0.024034071938976095,3,2,3.4811571156960905,0.09225648768964727,0.0031,0.092,0.9049,1.025,1.0,0.4
